TIPO DE RECARGA                                                                      USD  EUR  MXN
RECARGA #1; RECIBE 1080 CUP DE SALDO Y PUEDE COMPRAR HASTA (18GB + 180MIN + 210SMS);  15; 15; 345
RECARGA #2; RECIBE 1620 CUP DE SALDO Y PUEDE COMPRAR HASTA (27GB + 270MIN + 315SMS);	20;	20;	460
RECARGA #3;	RECIBE 2160 CUP DE SALDO Y PUEDE COMPRAR HASTA (36GB + 360MIN + 420SMS);	25;	25;	575
RECARGA #4;	RECIBE 3240 CUP DE SALDO Y PUEDE COMPRAR HASTA (54GB + 540MIN + 630SMS);	35;	35;	805
RECARGA #5;	RECIBE 5400 CUP DE SALDO Y PUEDE COMPRAR HASTA (90GB + 900MIN + 1050SMS);	55;	55;	1265
