USA;	USD;	1.10
USA;	MLC;	1
USA;	CUP;	0.0029412
MEXICO;	USD;	22
MEXICO;	MLC;	21
MEXICO;	CUP;	0.07142
EUROPE;	USD;	1
EUROPE;	MLC;	0.7692
EUROPE;	CUP;	0.0026315
